Model,Method,Params,LogLik,AIC,BIC
BM,euler,[1.46506621e-04 1.02902189e+00],21169.429200205606,-42334.85840041121,-42319.48860816207
BM,kessler,[1.46506621e-04 1.02902189e+00],21169.429200205606,-42334.85840041121,-42319.48860816207
BM,shoji,[7.38407098e-05 1.02902933e+00],21169.429174241326,-42334.85834848265,-42319.48855623351
GBM,euler,[0.03423663 0.25697842],17486.623041596875,-34969.24608319375,-34953.87629094461
GBM,kessler,[0.03423404 0.25693533],17486.623041600782,-34969.246083201564,-34953.87629095242
GBM,shoji,[0.03422994 0.25696086],17486.62304159854,-34969.24608319708,-34953.87629094794
OU,euler,[0.06256322 5.8123703  1.02896204],21170.44519075678,-42334.89038151356,-42311.83569313986
OU,kessler,[0.06261338 5.81236998 1.02902601],21170.44519049351,-42334.89038098702,-42311.83569261331
OU,shoji,[0.0626013  5.81235255 1.0290905 ],21170.44519025842,-42334.89038051684,-42311.83569214313
CIR,euler,[0.08599828 5.68663681 0.44328823],21714.07541249571,-43422.15082499142,-43399.096136617714
CIR,kessler,[0.09813377 5.68450358 0.44329367],21714.873588066333,-43423.74717613267,-43400.69248775896
CIR,shoji,[0.08603664 5.68538799 0.44336391],21714.075308620686,-43422.15061724137,-43399.09592886767
CEV,euler,[-0.00428389  0.57942881  0.32370742],21989.825807969333,-43973.65161593867,-43950.59692756496
CEV,kessler,[-0.00429474  0.57945363  0.32369063],21989.784553234913,-43973.569106469826,-43950.51441809612
CEV,shoji,[-0.00429492  0.57943397  0.32370725],21989.825807751466,-43973.65161550293,-43950.59692712923
CKLS,euler,[ 0.41291887 -0.06940673  0.57918702  0.32391534],21991.359380027265,-43974.71876005453,-43943.979175556255
CKLS,kessler,[ 0.4277624  -0.07157227  0.5790607   0.32407494],21991.458381813027,-43974.91676362605,-43944.17717912778
CKLS,shoji,[ 0.41274396 -0.06924233  0.57922683  0.32395273],21991.359416521955,-43974.71883304391,-43943.979248545635
