t,sigma(t),X(t)
0.0,0.04,1.0
0.001,0.04062829922782275,1.0032414961391138
0.002,0.04045015408094622,1.0024576623081762
0.003,0.04127266908178773,1.006687359305307
0.004,0.04322575583792779,1.0166379844845599
0.005,0.042908184223532465,1.0151745628417692
0.006,0.042592719939048965,1.0137191084323065
0.007,0.044646228202127373,1.0242683075173562
0.008,0.04565785603047847,1.0296230107304751
0.009000000000000001,0.045006429170035125,1.026459734486352
0.01,0.04571938256344402,1.0302985536836478
0.011,0.045075534387043724,1.0271731943880769
0.012,0.04443494155910624,1.024064114593686
0.013000000000000001,0.0447442186045773,1.0258182435913328
0.014,0.04217035680126249,1.0127922540340184
0.015,0.03992356705283463,1.00154884879952
0.016,0.03921323249034643,0.9980906815978337
0.017,0.037947113579418185,0.9918602042522324
0.018000000000000002,0.03834043267376121,0.9938794354137481
0.019,0.03722092068580358,0.9883907824970798
0.02,0.035505994585272725,0.979973333577518
0.021,0.03726614613256999,0.9886297787258976
0.022,0.0369986928749914,0.9873660388893125
0.023,0.03708984695188263,0.9878703368614323
0.024,0.03536319325097076,0.9793974512212248
0.025,0.03472964795773635,0.976324808588535
0.026000000000000002,0.03487619651707747,0.9770606524083991
0.027,0.03353210473366212,0.9705169684980296
0.028,0.033986618662236935,0.9727254295637855
0.029,0.03330433759779665,0.9694166008651136
0.03,0.03298775218163611,0.9678816634408138
0.031,0.03231760895939185,0.9646335495324676
0.032,0.03444664377404909,0.97488754455705
0.033,0.03444746045933246,0.974907805725831
0.034,0.03322253554939137,0.9689531540136587
0.035,0.03419108115719578,0.9736439202531664
0.036000000000000004,0.03278077667748956,0.9667907754556148
0.037,0.03304160195772187,0.968043579730119
0.038,0.03080956885273566,0.9572358170147065
0.039,0.029362684474909348,0.9502745317007165
0.04,0.02960794417883372,0.9513832538549081
0.041,0.030442766680431724,0.9553012705018807
0.042,0.030660543155784224,0.9563000607898893
0.043000000000000003,0.03056048807744069,0.955783307561239
0.044,0.0302558970855837,0.9542879390448363
0.045,0.02865859668590776,0.9466224651082089
0.046,0.027921902063836688,0.9430692285513907
0.047,0.02747132244191141,0.9408680393544503
0.048,0.028617049370837675,0.9461751979203112
0.049,0.02901883478274949,0.9480090584148221
0.05,0.02715230939002332,0.9391002907588665
0.051000000000000004,0.02752859901996981,0.9407800902425927
0.052000000000000005,0.027161925565298922,0.9389733801366511
0.053,0.026494855499275684,0.9357546531490597
0.054,0.02716506908515555,0.9387944434952085
0.055,0.0282782902544896,0.9439330117529358
0.056,0.029303915293052072,0.9487020440802639
0.057,0.02842741477795105,0.9444870141717262
0.058,0.028132404747601418,0.9430243448126259
0.059000000000000004,0.028519411711114204,0.944775560719569
0.06,0.02959580530418102,0.9497920913892939
0.061,0.029105656892763683,0.9474111478469863
0.062,0.028938015153042316,0.9465569393648646
0.063,0.0277809159798108,0.9410182318212225
0.064,0.026556589513157588,0.9351792902977076
0.065,0.027434359006055696,0.9391885874976306
0.066,0.02889279381792865,0.9459542104117404
0.067,0.028848701650214855,0.9456826563474988
0.068,0.02996017040148759,0.9508745243772104
0.069,0.03038617924346123,0.9528518173316942
0.07,0.029703793461678688,0.9495586316532728
0.07100000000000001,0.030128611868293742,0.9515238846639945
0.07200000000000001,0.03184666830925045,0.9596520028225849
0.073,0.03183069299277346,0.9595539488843022
0.074,0.03362070402046205,0.9681203816680393
0.075,0.03060180927384587,0.9535112871377803
0.076,0.031539338729208256,0.9579419436410139
0.077,0.0316624917982978,0.9585060329526895
0.078,0.03135100483666607,0.9569891996177674
0.079,0.031479709151476375,0.9575765868094346
0.08,0.029274948133231556,0.9469938243497684
